sampleID,visitDate,TN,TP,disNH4,disNO3,disPO4,TDN,TDP,locName,Pool Volume (cu ft)_x,samp_type,notes,samp_notes,y,x,Total_Mean_TP,Total_Mean_TN,Total_Mean_disNH4,Total_Mean_disNO3,Total_Mean_disPO4,Visit_Mean_TP,Visit_Mean_TN,Visit_Mean_disNH4,Visit_Mean_disNO3,Visit_Mean_disPO4,Wetland_ID,Max Depth  (ft),Slope Range,Bottom Deviation of wetland,Pool Volume (cu ft)_y,Season,Crop_Season,Defined_Season
W02802,2022-11-29,0.37,0.015,0.1024,0.2875,0.01,,,Aurand Run downstream,,sample,,,41.02386167,-83.69825333,0.0261,1.7582,0.0358,1.3299,0.0104,0.015,0.37,0.1024,0.2875,0.01,A-D,,,,,Autumn,Non_Crop_Season,Season_4
W03572,2023-04-18,0.95,0.015,0.02,0.945,0.01,,,Aurand Run downstream,,sample,,,41.02389,-83.69820333,0.0261,1.7582,0.0358,1.3299,0.0104,0.015,0.95,0.02,0.945,0.01,A-D,,,,,Spring,Non_Crop_Season,Season_4
W00386,2022-04-15,6.591,0.093,0.0243,5.8641,0.01,,,Aurand Run connection to P1,,sample,,,41.02354833,-83.69614667,0.0615,2.7124,0.0541,2.1386,0.0283,0.093,6.591,0.0243,5.8641,0.01,A-P1,,,,,Spring,Non_Crop_Season,Season_2
W03661,2023-06-15,4.54,0.015,0.02,4.4641,0.01,,,Aurand Run connection to P1,,sample,,No connection,41.02348167,-83.69610167,0.0615,2.7124,0.0541,2.1386,0.0283,0.015,4.54,0.02,4.4641,0.01,A-P1,,,,,Summer,Crop_Season,Season_5
W02811,2022-11-29,0.35,0.015,0.2631,0.2758,0.01,,,Aurand Run connection to P1,,sample,,,41.02342833,-83.69605167,0.0615,2.7124,0.0541,2.1386,0.0283,0.015,0.35,0.2631,0.2758,0.01,A-P1,,,,,Autumn,Non_Crop_Season,Season_4
W02635,2022-08-18,0.693127,0.015,0.0306,0.4943,0.01,,,Aurand Run connection to P1,,sample,,,41.023425,-83.69605833,0.0615,2.7124,0.0541,2.1386,0.0283,0.015,0.6931,0.0306,0.4943,0.01,A-P1,,,,,Summer,Crop_Season,Season_3
W02951,2023-02-23,11.79,0.45,0.098,9.3702,0.16,,,Aurand Run connection to P1,,sample,,,41.02335167,-83.69569833,0.0615,2.7124,0.0541,2.1386,0.0283,0.45,11.79,0.098,9.3702,0.16,A-P1,,,,,Winter,Non_Crop_Season,Season_4
W00355,2022-04-01,1.973,0.015,0.02,1.7361,0.01,,,Aurand Run connection to P1,,sample,,,41.02350167,-83.69614,0.0615,2.7124,0.0541,2.1386,0.0283,0.015,1.973,0.02,1.7361,0.01,A-P1,,,,,Spring,Non_Crop_Season,Season_2
W00145,2021-08-27,1.509,0.018,0.0144,0.1609,0.0573,,,Aurand Run connection to P1,,sample,,,41.02349886,-83.69613139,0.0615,2.7124,0.0541,2.1386,0.0283,0.018,1.509,0.0144,0.1609,0.0573,A-P1,,,,,Summer,Crop_Season,Season_1
W02519,2022-07-14,1.061,0.015,0.0286,0.3119,0.01,,,Aurand Run connection to P1,,sample,,,41.02343667,-83.696055,0.0615,2.7124,0.0541,2.1386,0.0283,0.015,1.061,0.0286,0.3119,0.01,A-P1,,,,,Summer,Crop_Season,Season_3
W02687,2022-09-20,0.21334,0.015,0.0562,0.1076,0.0144,,,Aurand Run connection to P1,,sample,,,41.02344167,-83.696015,0.0615,2.7124,0.0541,2.1386,0.0283,0.015,0.2133,0.0562,0.1076,0.0144,A-P1,,,,,Autumn,Crop_Season,Season_3
W00067,2021-07-30,0.757,0.011,0.02,0.378045,0.01,,,Aurand Run connection to P1,,sample ,Aurand run appeared to be flowing slowly and calmly. Was not backing up into pool 1. Flow here was .13 m/s. ,,41.023611,-83.695834,0.0615,2.7124,0.0541,2.1386,0.0283,0.011,0.757,0.02,0.378,0.01,A-P1,,,,,Summer,Crop_Season,Season_1
W02749,2022-11-01,0.358499,0.015,0.02,0.3615,0.01,,,Aurand Run connection to P1,,sample,,,41.02345667,-83.69620333,0.0615,2.7124,0.0541,2.1386,0.0283,0.015,0.3585,0.02,0.3615,0.01,A-P1,,,,,Autumn,Non_Crop_Season,Season_4
W02757,2022-11-01,0.492202,0.015,0.1437,0.3037,0.01,,,Aurand Run upstream,,sample,,,41.01936667,-83.68815,0.0257,3.0791,0.0767,2.2805,0.0114,0.015,0.4922,0.1437,0.3037,0.01,A-Up,,,,,Autumn,Non_Crop_Season,Season_4
W03669,2023-06-15,15.57,0.02,0.0235,13.9452,0.01,,,Aurand Run upstream,,sample,,,,,0.0257,3.0791,0.0767,2.2805,0.0114,0.02,15.57,0.0235,13.9452,0.01,A-Up,,,,,Summer,Crop_Season,Season_5
W02812,2022-11-29,0.43,0.015,0.2311,0.2674,0.01,,,Aurand Run upstream,,sample,,,41.01941333,-83.688225,0.0257,3.0791,0.0767,2.2805,0.0114,0.015,0.43,0.2311,0.2674,0.01,A-Up,,,,,Autumn,Non_Crop_Season,Season_4
W02644,2022-08-18,0.677876,0.015,0.1359,0.3647,0.01,,,Aurand Run upstream,,sample,,,41.01938667,-83.68819333,0.0257,3.0791,0.0767,2.2805,0.0114,0.015,0.6779,0.1359,0.3647,0.01,A-Up,,,,,Summer,Crop_Season,Season_3
W02693,2022-09-20,0.272056,0.015,0.0706,0.05,0.01,,,Aurand Run upstream,,sample,,,41.01942833,-83.68821833,0.0257,3.0791,0.0767,2.2805,0.0114,0.015,0.2721,0.0706,0.05,0.01,A-Up,,,,,Autumn,Crop_Season,Season_3
W00396,2022-04-15,7.74,0.104,0.0175,6.8319,0.0236,,,Aurand Run upstream,,sample,,,41.01942333,-83.688145,0.0257,3.0791,0.0767,2.2805,0.0114,0.104,7.74,0.0175,6.8319,0.0236,A-Up,,,,,Spring,Non_Crop_Season,Season_2
W03574,2023-04-18,0.73,0.02,0.02,0.6109,0.01,,,Aurand Run upstream,,sample,,,41.02335333,-83.695715,0.0257,3.0791,0.0767,2.2805,0.0114,0.02,0.73,0.02,0.6109,0.01,A-Up,,,,,Spring,Non_Crop_Season,Season_4
W03751,2023-07-26,,,0.02,0.05,0.01,,,Aurand Run upstream,,sample,,,41.01937833,-83.688265,0.0257,3.0791,0.0767,2.2805,0.0114,,,0.02,0.05,0.01,A-Up,,,,,Summer,Crop_Season,Season_5
W02521,2022-07-14,0.983,0.012,0.0633,0.2834,0.01,,,Aurand Run upstream,,sample,,,41.01938667,-83.68828333,0.0257,3.0791,0.0767,2.2805,0.0114,0.012,0.983,0.0633,0.2834,0.01,A-Up,,,,,Summer,Crop_Season,Season_3
W00144,2021-08-27,0.817,0.015,0.0413,0.0979,0.01,,,Aurand Run upstream,,sample,Flow in deeper pool 0.013 m/s in narrow section ~3 ft wide: ~0.1 m/s,,41.0194289,-83.68823689,0.0257,3.0791,0.0767,2.2805,0.0114,0.015,0.817,0.0413,0.0979,0.01,A-Up,,,,,Summer,Crop_Season,Season_1
W03660,2023-06-15,1.0,0.03,0.02,0.2286,0.01,,,Wetland Pool 1,353316.0,sample,,,41.02407833,-83.69663667,0.1305,1.5229,0.0792,0.3118,0.0142,0.02,0.3833,0.02,0.2277,0.01,P-01,6.0,14:1 to 35:1,770.0,353316.0,Summer,Crop_Season,Season_5
W00065,2021-07-30,2.485,0.113,0.02,0.172362,0.01,,,Wetland Pool 1,353316.0,sample ,"Tons of vegetation around pool, as high as my head. Depth increases rapidly once entering the pool. The line where the pool begins is not clear, the water extends into the vegetation. ",,41.024167,-83.696667,0.1305,1.5229,0.0792,0.3118,0.0142,0.109,2.412,0.02,0.1713,0.01,P-01,6.0,14:1 to 35:1,770.0,353316.0,Summer,Crop_Season,Season_1
W03658,2023-06-15,0.075,0.015,0.02,0.1805,0.01,,,Wetland Pool 1,353316.0,blank,,,41.025085,-83.69826333,0.1305,1.5229,0.0792,0.3118,0.0142,0.02,0.3833,0.02,0.2277,0.01,P-01,6.0,14:1 to 35:1,770.0,353316.0,Summer,Crop_Season,Season_5
W03657,2023-06-15,0.075,0.015,0.02,0.2741,0.01,,,Wetland Pool 1,353316.0,blank,,,41.02507167,-83.69828333,0.1305,1.5229,0.0792,0.3118,0.0142,0.02,0.3833,0.02,0.2277,0.01,P-01,6.0,14:1 to 35:1,770.0,353316.0,Summer,Crop_Season,Season_5
W02631,2022-08-18,0.188071,0.015,0.02,0.05,0.01,,,Wetland Pool 1,353316.0,blank,,,41.025065,-83.69826833,0.1305,1.5229,0.0792,0.3118,0.0142,0.048,0.6225,0.02,0.05,0.01,P-01,6.0,14:1 to 35:1,770.0,353316.0,Summer,Crop_Season,Season_3
W02950,2023-02-23,0.075,0.015,0.02,0.078,0.01,,,Wetland Pool 1,353316.0,blank,,,41.02505333,-83.69822333,0.1305,1.5229,0.0792,0.3118,0.0142,0.1433,0.5467,0.02,0.2329,0.0337,P-01,6.0,14:1 to 35:1,770.0,353316.0,Winter,Non_Crop_Season,Season_4
W02949,2023-02-23,0.075,0.015,0.02,0.1849,0.01,,,Wetland Pool 1,353316.0,blank,,,0.0,0.0,0.1305,1.5229,0.0792,0.3118,0.0142,0.1433,0.5467,0.02,0.2329,0.0337,P-01,6.0,14:1 to 35:1,770.0,353316.0,Winter,Non_Crop_Season,Season_4
W03640,2023-06-07,0.92,0.03,0.02,0.05,0.01,,,Wetland Pool 1,353316.0,replicate,,Water depth at staff gauge,41.02403333,-83.696555,0.1305,1.5229,0.0792,0.3118,0.0142,0.05,0.935,0.02,0.05,0.01,P-01,6.0,14:1 to 35:1,770.0,353316.0,Summer,Crop_Season,Season_5
W00236,2021-10-22,0.075,0.155,0.02,0.0621,0.01,,,Wetland Pool 1,353316.0,sample,,,41.02416325,-83.69578321,0.1305,1.5229,0.0792,0.3118,0.0142,0.186,0.427,0.0179,0.0569,0.01,P-01,6.0,14:1 to 35:1,770.0,353316.0,Autumn,Non_Crop_Season,Season_1
W00237,2021-10-22,1.483,0.197,0.0116,0.0558,0.01,,,Wetland Pool 1,353316.0,sample,,,41.024451,-83.69628101,0.1305,1.5229,0.0792,0.3118,0.0142,0.186,0.427,0.0179,0.0569,0.01,P-01,6.0,14:1 to 35:1,770.0,353316.0,Autumn,Non_Crop_Season,Season_1
W00238,2021-10-22,0.075,0.185,0.02,0.0564,0.01,,,Wetland Pool 1,353316.0,sample,,,41.02432004,-83.69678543,0.1305,1.5229,0.0792,0.3118,0.0142,0.186,0.427,0.0179,0.0569,0.01,P-01,6.0,14:1 to 35:1,770.0,353316.0,Autumn,Non_Crop_Season,Season_1
W02801,2022-11-29,0.075,0.015,0.1126,0.05,0.01,,,Wetland Pool 1,353316.0,blank,,,41.02505833,-83.69827333,0.1305,1.5229,0.0792,0.3118,0.0142,0.0267,4.03,0.8088,2.7215,0.01,P-01,6.0,14:1 to 35:1,770.0,353316.0,Autumn,Non_Crop_Season,Season_4
W03639,2023-06-07,0.95,0.07,0.02,0.05,0.01,,,Wetland Pool 1,353316.0,sample,,Water depth at staff gauge,41.02403333,-83.69656667,0.1305,1.5229,0.0792,0.3118,0.0142,0.05,0.935,0.02,0.05,0.01,P-01,6.0,14:1 to 35:1,770.0,353316.0,Summer,Crop_Season,Season_5
W00385,2022-04-15,0.96,0.167,0.02,0.0721,0.01,,,Wetland Pool 1,353316.0,sample,,,41.02387167,-83.69616667,0.1305,1.5229,0.0792,0.3118,0.0142,0.167,0.96,0.02,0.0721,0.01,P-01,6.0,14:1 to 35:1,770.0,353316.0,Spring,Non_Crop_Season,Season_2
W00291,2021-12-01,0.963,0.074,0.02,0.0304,0.0113,,,Wetland Pool 1,353316.0,sample,Pool 1 at sonde location,,41.02412527,-83.69574866,0.1305,1.5229,0.0792,0.3118,0.0142,0.0547,0.666,0.02,0.0314,0.0104,P-01,6.0,14:1 to 35:1,770.0,353316.0,Winter,Non_Crop_Season,Season_2
W00292,2021-12-01,1.021,0.075,0.02,0.0361,0.01,,,Wetland Pool 1,353316.0,replicate,Pool 1 at sonde location,,41.0241217,-83.69576117,0.1305,1.5229,0.0792,0.3118,0.0142,0.0547,0.666,0.02,0.0314,0.0104,P-01,6.0,14:1 to 35:1,770.0,353316.0,Winter,Non_Crop_Season,Season_2
W00293,2021-12-01,0.014,0.015,0.02,0.0277,0.01,,,Wetland Pool 1,353316.0,blank,Field blank,,41.02412354,-83.6957604,0.1305,1.5229,0.0792,0.3118,0.0142,0.0547,0.666,0.02,0.0314,0.0104,P-01,6.0,14:1 to 35:1,770.0,353316.0,Winter,Non_Crop_Season,Season_2
W00354,2022-04-01,1.878,0.41,0.02,0.1785,0.01,,,Wetland Pool 1,353316.0,sample,,,41.02395167,-83.69677667,0.1305,1.5229,0.0792,0.3118,0.0142,0.41,1.878,0.02,0.1785,0.01,P-01,6.0,14:1 to 35:1,770.0,353316.0,Spring,Non_Crop_Season,Season_2
W00046,2021-05-27,1.154,0.066,0.208,0.563,0.026,1.078,0.061,Wetland Pool 1,353316.0,sample,"Pool was full but there was no flowing water, Aurand run was not flooded past the rock barrier so there was not flow from Aurand run at the time",,41.0239,-83.6963,0.1305,1.5229,0.0792,0.3118,0.0142,0.0605,1.169,0.24,0.564,0.0215,P-01,6.0,14:1 to 35:1,770.0,353316.0,Spring,Crop_Season,Season_1
W02803,2022-11-29,11.94,0.05,2.2689,8.0644,0.01,,,Wetland Pool 1,353316.0,sample,,,41.024125,-83.69645,0.1305,1.5229,0.0792,0.3118,0.0142,0.0267,4.03,0.8088,2.7215,0.01,P-01,6.0,14:1 to 35:1,770.0,353316.0,Autumn,Non_Crop_Season,Season_4
W00045,2021-05-27,1.184,0.055,0.272,0.565,0.017,1.117,0.031,Wetland Pool 1,353316.0,sample,"Pool was mostly filled with water, but had been more full in the past. Water level did not extend past the dry island to the west of the pool. This can be considered a floodplain wetland",,41.0243,-83.6968,0.1305,1.5229,0.0792,0.3118,0.0142,0.0605,1.169,0.24,0.564,0.0215,P-01,6.0,14:1 to 35:1,770.0,353316.0,Spring,Crop_Season,Season_1
W00239,2021-10-22,0.075,0.207,0.02,0.0534,0.01,,,Wetland Pool 1,353316.0,sample,,,41.02412373,-83.6962831,0.1305,1.5229,0.0792,0.3118,0.0142,0.186,0.427,0.0179,0.0569,0.01,P-01,6.0,14:1 to 35:1,770.0,353316.0,Autumn,Non_Crop_Season,Season_1
W02632,2022-08-18,0.394685,0.015,0.02,0.05,0.01,,,Wetland Pool 1,353316.0,blank,,,0.0,0.0,0.1305,1.5229,0.0792,0.3118,0.0142,0.048,0.6225,0.02,0.05,0.01,P-01,6.0,14:1 to 35:1,770.0,353316.0,Summer,Crop_Season,Season_3
W02686,2022-09-20,1.431975,0.16,0.02,0.05,0.01,,,Wetland Pool 1,353316.0,sample,,,41.024175,-83.69629833,0.1305,1.5229,0.0792,0.3118,0.0142,0.0988,0.8088,0.02,0.05,0.01,P-01,6.0,14:1 to 35:1,770.0,353316.0,Autumn,Crop_Season,Season_3
W00147,2021-08-27,3.237,0.182,0.02,0.05,0.01,,,Wetland Pool 1,353316.0,sample,This is deepest pool,,41.02413249,-83.69677361,0.1305,1.5229,0.0792,0.3118,0.0142,0.3155,4.156,0.02,0.064,0.0057,P-01,6.0,14:1 to 35:1,770.0,353316.0,Summer,Crop_Season,Season_1
W00148,2021-08-27,5.075,0.449,0.02,0.078,0.0013,,,Wetland Pool 1,353316.0,sample,This was originally identified as P2 but GIS coordinates show it is instead a small pool that is part of the larger area of P1. Nearly full of vegetation,,41.02448432,-83.69568438,0.1305,1.5229,0.0792,0.3118,0.0142,0.3155,4.156,0.02,0.064,0.0057,P-01,6.0,14:1 to 35:1,770.0,353316.0,Summer,Crop_Season,Season_1
W03573,2023-04-18,1.04,0.2,0.02,0.132,0.01,,,Wetland Pool 1,353316.0,sample,,,41.023705,-83.69610333,0.1305,1.5229,0.0792,0.3118,0.0142,0.1217,0.3967,0.0309,0.1849,0.01,P-01,6.0,14:1 to 35:1,770.0,353316.0,Spring,Non_Crop_Season,Season_4
W02506,2022-07-14,3.332,0.279,0.02,0.05,0.01,,,Wetland Pool 1,353316.0,sample,,,41.02417,-83.69626167,0.1305,1.5229,0.0792,0.3118,0.0142,0.103,1.1607,0.02,0.0656,0.01,P-01,6.0,14:1 to 35:1,770.0,353316.0,Summer,Crop_Season,Season_3
W02505,2022-07-14,0.075,0.015,0.02,0.0777,0.01,,,Wetland Pool 1,353316.0,blank,,,41.02505333,-83.69824167,0.1305,1.5229,0.0792,0.3118,0.0142,0.103,1.1607,0.02,0.0656,0.01,P-01,6.0,14:1 to 35:1,770.0,353316.0,Summer,Crop_Season,Season_3
W02504,2022-07-14,0.075,0.015,0.02,0.069,0.01,,,Wetland Pool 1,353316.0,blank,,,41.02485667,-83.69820667,0.1305,1.5229,0.0792,0.3118,0.0142,0.103,1.1607,0.02,0.0656,0.01,P-01,6.0,14:1 to 35:1,770.0,353316.0,Summer,Crop_Season,Season_3
W02685,2022-09-20,1.653387,0.211,0.02,0.05,0.01,,,Wetland Pool 1,353316.0,sample,,,41.02396167,-83.69596,0.1305,1.5229,0.0792,0.3118,0.0142,0.0988,0.8088,0.02,0.05,0.01,P-01,6.0,14:1 to 35:1,770.0,353316.0,Autumn,Crop_Season,Season_3
W00478,2022-06-15,0.075,0.015,0.02,0.017,0.01,,,Wetland Pool 1,353316.0,blank,,,41.02502667,-83.69826333,0.1305,1.5229,0.0792,0.3118,0.0142,0.1457,2.4933,0.02,0.3278,0.0295,P-01,6.0,14:1 to 35:1,770.0,353316.0,Summer,Crop_Season,Season_3
W02683,2022-09-20,0.075,0.015,0.02,0.05,0.01,,,Wetland Pool 1,353316.0,blank,,,41.02507167,-83.698235,0.1305,1.5229,0.0792,0.3118,0.0142,0.0988,0.8088,0.02,0.05,0.01,P-01,6.0,14:1 to 35:1,770.0,353316.0,Autumn,Crop_Season,Season_3
W02748,2022-11-01,6.548918,0.791,0.0898,0.1946,0.0134,,,Wetland Pool 1,353316.0,sample,,,41.02410167,-83.69638,0.1305,1.5229,0.0792,0.3118,0.0142,0.791,6.5489,0.0898,0.1946,0.0134,P-01,6.0,14:1 to 35:1,770.0,353316.0,Autumn,Non_Crop_Season,Season_4
W00477,2022-06-15,0.075,0.015,0.02,0.05,0.01,,,Wetland Pool 1,353316.0,blank,,,41.02502667,-83.69826333,0.1305,1.5229,0.0792,0.3118,0.0142,0.1457,2.4933,0.02,0.3278,0.0295,P-01,6.0,14:1 to 35:1,770.0,353316.0,Summer,Crop_Season,Season_3
W02682,2022-09-20,0.075,0.009,0.02,0.05,0.01,,,Wetland Pool 1,353316.0,blank,,,41.02505667,-83.69820167,0.1305,1.5229,0.0792,0.3118,0.0142,0.0988,0.8088,0.02,0.05,0.01,P-01,6.0,14:1 to 35:1,770.0,353316.0,Autumn,Crop_Season,Season_3
W00475,2022-06-15,1.63,0.193,0.02,0.4366,0.0479,,,Wetland Pool 1,353316.0,sample,,,41.02391167,-83.69629,0.1305,1.5229,0.0792,0.3118,0.0142,0.1457,2.4933,0.02,0.3278,0.0295,P-01,6.0,14:1 to 35:1,770.0,353316.0,Summer,Crop_Season,Season_3
W03747,2023-07-26,,,0.02,0.05,0.01,,,Wetland Pool 1,353316.0,sample,,,41.02405167,-83.69654833,0.1305,1.5229,0.0792,0.3118,0.0142,,,0.02,0.0663,0.01,P-01,6.0,14:1 to 35:1,770.0,353316.0,Summer,Crop_Season,Season_5
W00474,2022-06-15,1.58,0.155,0.02,0.5507,0.0285,,,Wetland Pool 1,353316.0,replicate,,Near sonde,41.02417333,-83.69621833,0.1305,1.5229,0.0792,0.3118,0.0142,0.1457,2.4933,0.02,0.3278,0.0295,P-01,6.0,14:1 to 35:1,770.0,353316.0,Summer,Crop_Season,Season_3
W00473,2022-06-15,1.9,0.215,0.02,0.7441,0.0341,,,Wetland Pool 1,353316.0,sample,,Near sonde,41.02420833,-83.69623667,0.1305,1.5229,0.0792,0.3118,0.0142,0.1457,2.4933,0.02,0.3278,0.0295,P-01,6.0,14:1 to 35:1,770.0,353316.0,Summer,Crop_Season,Season_3
W03571,2023-04-18,0.075,0.015,0.0514,0.1318,0.01,,,Wetland Pool 1,353316.0,blank,,,41.02502667,-83.69825667,0.1305,1.5229,0.0792,0.3118,0.0142,0.1217,0.3967,0.0309,0.1849,0.01,P-01,6.0,14:1 to 35:1,770.0,353316.0,Spring,Non_Crop_Season,Season_4
W03745,2023-07-26,,,0.02,0.0696,0.01,,,Wetland Pool 1,353316.0,blank,,,41.02509833,-83.6982,0.1305,1.5229,0.0792,0.3118,0.0142,,,0.02,0.0663,0.01,P-01,6.0,14:1 to 35:1,770.0,353316.0,Summer,Crop_Season,Season_5
W03744,2023-07-26,,,0.02,0.0792,0.01,,,Wetland Pool 1,353316.0,blank,,,41.02510833,-83.69819167,0.1305,1.5229,0.0792,0.3118,0.0142,,,0.02,0.0663,0.01,P-01,6.0,14:1 to 35:1,770.0,353316.0,Summer,Crop_Season,Season_5
W03570,2023-04-18,0.075,0.15,0.0213,0.291,0.01,,,Wetland Pool 1,353316.0,blank,,,41.02503333,-83.69824,0.1305,1.5229,0.0792,0.3118,0.0142,0.1217,0.3967,0.0309,0.1849,0.01,P-01,6.0,14:1 to 35:1,770.0,353316.0,Spring,Non_Crop_Season,Season_4
W02952,2023-02-23,1.49,0.4,0.02,0.4357,0.081,,,Wetland Pool 1,353316.0,sample,,,41.02420667,-83.69542333,0.1305,1.5229,0.0792,0.3118,0.0142,0.1433,0.5467,0.02,0.2329,0.0337,P-01,6.0,14:1 to 35:1,770.0,353316.0,Winter,Non_Crop_Season,Season_4
W02800,2022-11-29,0.075,0.015,0.045,0.05,0.01,,,Wetland Pool 1,353316.0,blank,,,41.02506333,-83.69828,0.1305,1.5229,0.0792,0.3118,0.0142,0.0267,4.03,0.8088,2.7215,0.01,P-01,6.0,14:1 to 35:1,770.0,353316.0,Autumn,Non_Crop_Season,Season_4
W00069,2021-07-30,2.339,0.105,0.02,0.170217,0.01,,,Wetland Pool 1,353316.0,sample,"Vegetation was grown into the pool so it is a very undefined edge. The samples were taken directly inside the end of the vegetation. No soil sample taken at this site, whole area was flooded ",,41.024167,-83.695833,0.1305,1.5229,0.0792,0.3118,0.0142,0.109,2.412,0.02,0.1713,0.01,P-01,6.0,14:1 to 35:1,770.0,353316.0,Summer,Crop_Season,Season_1
W00476,2022-06-15,9.7,0.281,0.02,0.1682,0.0467,,,Wetland Pool 1,353316.0,replicate,,,41.02395333,-83.696325,0.1305,1.5229,0.0792,0.3118,0.0142,0.1457,2.4933,0.02,0.3278,0.0295,P-01,6.0,14:1 to 35:1,770.0,353316.0,Summer,Crop_Season,Season_3
W02634,2022-08-18,1.284713,0.114,0.02,0.05,0.01,,,Wetland Pool 1,353316.0,sample,,,41.02423167,-83.696305,0.1305,1.5229,0.0792,0.3118,0.0142,0.048,0.6225,0.02,0.05,0.01,P-01,6.0,14:1 to 35:1,770.0,353316.0,Summer,Crop_Season,Season_3
W02507,2022-07-14,6.268,0.542,0.02,0.0594,0.016,,,Wetland Pool 2,7383.0,sample,,,41.02404667,-83.694335,0.2728,2.7487,0.024,0.1044,0.0184,0.542,6.268,0.02,0.0594,0.016,P-02,0.5,10:1,774.8,7383.0,Summer,Crop_Season,Season_3
W00049,2021-05-27,1.107,0.098,0.031,0.05,0.01,1.092,0.055,Wetland Pool 2,7383.0,sample,This pool was full of water,,41.0239,-83.6946,0.2728,2.7487,0.024,0.1044,0.0184,0.0985,1.115,0.032,0.05,0.01,P-02,0.5,10:1,774.8,7383.0,Spring,Crop_Season,Season_1
W00357,2022-04-01,0.69,0.056,0.02,0.1226,0.01,,,Wetland Pool 2,7383.0,sample,,,41.02396333,-83.69496833,0.2728,2.7487,0.024,0.1044,0.0184,0.056,0.69,0.02,0.1226,0.01,P-02,0.5,10:1,774.8,7383.0,Spring,Non_Crop_Season,Season_2
W00071,2021-07-30,1.972,0.152,0.02,0.188591,0.054216,,,Wetland Pool 2,7383.0,sample ,,,41.024167,-83.695,0.2728,2.7487,0.024,0.1044,0.0184,0.152,1.972,0.02,0.1886,0.0542,P-02,0.5,10:1,774.8,7383.0,Summer,Crop_Season,Season_1
